title,price,rating,reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Window...,"₹68,999",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
"SAMSUNG Galaxy A35 5G (Awesome Navy, 256 GB)","₹33,999",4.3,544 Ratings & 37 Reviews
"SAMSUNG Galaxy A14 5G (Black, 64 GB)","₹11,999",4.1,"4,132 Ratings & 265 Reviews"
"SAMSUNG Galaxy A15 5G (Blue Black, 256 GB)","₹22,299",4.2,"1,359 Ratings & 91 Reviews"
"SAMSUNG Galaxy A15 5G (Blue, 256 GB)","₹22,499",4.2,"1,359 Ratings & 91 Reviews"
Title Not Found,"₹2,499",3.1,"1,548 Ratings & 123 Reviews"
SAMSUNG Guru FM Plus,"₹1,999",4.2,"28,508 Ratings & 2,363 Reviews"
"SAMSUNG Galaxy S23 FE (Purple, 256 GB)","₹38,999",4.3,"11,825 Ratings & 790 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,999",4.3,"2,06,353 Ratings & 11,760 Reviews"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 256 GB)","₹28,480",4.3,"1,44,796 Ratings & 13,829 Reviews"
SAMSUNG Metro 313,"₹2,499",3.6,"2,183 Ratings & 181 Reviews"
Title Not Found,"₹6,999",4.2,"1,10,490 Ratings & 6,185 Reviews"
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)","₹18,534",4.5,56 Ratings & 3 Reviews
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹12,999",4.1,"4,132 Ratings & 265 Reviews"
"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹33,999",4.3,544 Ratings & 37 Reviews
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹13,490",4.2,"24,698 Ratings & 1,543 Reviews"
"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹18,490",4.2,"1,359 Ratings & 91 Reviews"
Title Not Found,"₹2,199",3,840 Ratings & 50 Reviews
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)","₹19,499",4.1,"2,617 Ratings & 174 Reviews"
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹94,999",4.5,160 Ratings & 18 Reviews
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹18,495",4.2,939 Ratings & 81 Reviews
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹18,188",4.2,939 Ratings & 81 Reviews
"SAMSUNG Galaxy A04 (Copper, 128 GB)","₹9,499",3.9,70 Ratings & 5 Reviews
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)","₹27,499",4.3,"6,626 Ratings & 545 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,999",4.3,"2,06,353 Ratings & 11,760 Reviews"
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)","₹27,499",4.3,"6,626 Ratings & 545 Reviews"
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹16,499",4.1,"3,481 Ratings & 269 Reviews"
"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹38,999",4.3,"11,825 Ratings & 790 Reviews"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹12,999",4.2,"6,519 Ratings & 348 Reviews"
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/512...,"₹1,23,990",3.6,10 Ratings & 0 Reviews
"SAMSUNG Galaxy S24 5G (Cobalt Violet, 256 GB)","₹67,999",4.5,"1,063 Ratings & 135 Reviews"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)","₹27,999",4.3,"1,44,796 Ratings & 13,829 Reviews"
"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹18,195",4.5,56 Ratings & 3 Reviews
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)","₹21,499",4,"1,207 Ratings & 63 Reviews"
SAMSUNG Galaxy Book4 Intel Core 7 150U - (16 GB/512 GB SSD/Window...,"₹79,999",4.6,25 Ratings & 2 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (16 GB/512...,"₹1,44,990",4.7,25 Ratings & 2 Reviews
"SAMSUNG Galaxy Z Fold6 5G (Silver Shadow, 256 GB)","₹1,64,999",3.9,27 Ratings & 2 Reviews
"SAMSUNG Galaxy A15 5G (Light Blue, 128 GB)","₹18,590",4.2,"1,359 Ratings & 91 Reviews"
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Window...,"₹68,999",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹21,499",4,"1,207 Ratings & 63 Reviews"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹9,999",4.1,"12,334 Ratings & 683 Reviews"
"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)","₹11,890",4.1,"4,132 Ratings & 265 Reviews"
"SAMSUNG Galaxy A05 (Silver, 64 GB)","₹7,442",4.3,45 Ratings & 2 Reviews
"SAMSUNG Galaxy S24 5G (Onyx Black, 512 GB)","₹77,999",4.5,"1,063 Ratings & 135 Reviews"
SAMSUNG Metro 313,"₹2,499",3.3,"5,104 Ratings & 367 Reviews"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,999",4.1,"12,334 Ratings & 683 Reviews"
"SAMSUNG Galaxy S24 5G (Onyx Black, 256 GB)","₹67,999",4.5,"1,063 Ratings & 135 Reviews"
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Black, 256 GB)","₹1,29,999",4.6,"1,916 Ratings & 244 Reviews"
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹48,999",4.3,120 Ratings & 10 Reviews
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹16,499",4.1,"3,481 Ratings & 269 Reviews"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,999",4.1,"12,334 Ratings & 683 Reviews"
"SAMSUNG Galaxy A05 (Light Green, 64 GB)","₹7,699",4.3,45 Ratings & 2 Reviews
"SAMSUNG Galaxy S24 5G (Amber Yellow, 128 GB)","₹62,999",4.5,"1,063 Ratings & 135 Reviews"
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹6,889",4.1,"4,771 Ratings & 335 Reviews"
